역명,일자, 이용인원 , 승차인원 , 하차인원 
검단오류(검단산업단지),2023-06-01,5939,2924,3015
왕길,2023-06-01,5337,2680,2657
검단사거리,2023-06-01,17334,9047,8287
마전,2023-06-01,9345,4552,4793
완정,2023-06-01,16736,8660,8076
독정,2023-06-01,8338,4125,4213
검암,2023-06-01,5948,3191,2757
검바위,2023-06-01,7803,3745,4058
아시아드경기장(공촌사거리),2023-06-01,9792,5240,4552
서구청,2023-06-01,17285,8526,8759
가정(루원시티),2023-06-01,23803,12223,11580
가정중앙시장,2023-06-01,11853,5673,6180
석남(거북시장),2023-06-01,6462,3148,3314
서부여성회관,2023-06-01,8360,4243,4117
인천가좌,2023-06-01,8580,4365,4215
가재울,2023-06-01,7512,3802,3710
주안국가산단,2023-06-01,5591,2751,2840
주안,2023-06-01,17033,7369,9664
시민공원(문화창작지대),2023-06-01,19127,9841,9286
석바위시장,2023-06-01,9043,4334,4709
인천시청,2023-06-01,6797,3199,3598
석천사거리,2023-06-01,9549,4926,4623
모래내시장,2023-06-01,16104,7811,8293
만수,2023-06-01,10388,5377,5011
남동구청,2023-06-01,9088,4731,4357
인천대공원,2023-06-01,6286,3152,3134
운연(서창),2023-06-01,2817,1541,1276
검단오류(검단산업단지),2023-06-02,5953,2902,3051
왕길,2023-06-02,5511,2783,2728
검단사거리,2023-06-02,18446,9616,8830
마전,2023-06-02,9231,4552,4679
완정,2023-06-02,16233,8411,7822
독정,2023-06-02,8166,4082,4084
검암,2023-06-02,6130,3299,2831
검바위,2023-06-02,7958,3911,4047
아시아드경기장(공촌사거리),2023-06-02,9840,5303,4537
서구청,2023-06-02,18170,8974,9196
가정(루원시티),2023-06-02,24353,12464,11889
가정중앙시장,2023-06-02,12137,5790,6347
석남(거북시장),2023-06-02,6802,3258,3544
서부여성회관,2023-06-02,8875,4597,4278
인천가좌,2023-06-02,8807,4477,4330
가재울,2023-06-02,7747,3995,3752
주안국가산단,2023-06-02,5652,2763,2889
주안,2023-06-02,17337,7409,9928
시민공원(문화창작지대),2023-06-02,19068,9797,9271
석바위시장,2023-06-02,8963,4297,4666
인천시청,2023-06-02,6896,3324,3572
석천사거리,2023-06-02,9534,4918,4616
모래내시장,2023-06-02,16521,8016,8505
만수,2023-06-02,10660,5557,5103
남동구청,2023-06-02,9580,5051,4529
인천대공원,2023-06-02,6072,3086,2986
운연(서창),2023-06-02,2895,1573,1322
검단오류(검단산업단지),2023-06-03,2248,1200,1048
왕길,2023-06-03,3166,1648,1518
검단사거리,2023-06-03,14123,7319,6804
마전,2023-06-03,5963,2988,2975
완정,2023-06-03,10449,5507,4942
독정,2023-06-03,5642,2784,2858
검암,2023-06-03,4817,2554,2263
검바위,2023-06-03,4004,1975,2029
아시아드경기장(공촌사거리),2023-06-03,7030,3678,3352
서구청,2023-06-03,11500,5760,5740
가정(루원시티),2023-06-03,14939,7755,7184
가정중앙시장,2023-06-03,9241,4574,4667
석남(거북시장),2023-06-03,4856,2303,2553
서부여성회관,2023-06-03,6219,3200,3019
인천가좌,2023-06-03,4873,2516,2357
가재울,2023-06-03,4142,2135,2007
주안국가산단,2023-06-03,1300,625,675
주안,2023-06-03,14342,5846,8496
시민공원(문화창작지대),2023-06-03,13485,6969,6516
석바위시장,2023-06-03,6413,3137,3276
인천시청,2023-06-03,4849,2266,2583
석천사거리,2023-06-03,6483,3446,3037
모래내시장,2023-06-03,13895,6817,7078
만수,2023-06-03,7944,4167,3777
남동구청,2023-06-03,6099,3209,2890
