"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250101","수인선","송도","1453","1321","20250104",""
"20250101","4호선","창동","12477","13408","20250104",""
"20250101","4호선","쌍문","12792","12199","20250104",""
"20250101","4호선","수유(강북구청)","17606","17442","20250104",""
"20250101","4호선","미아(서울사이버대학)","6819","6532","20250104",""
"20250101","4호선","미아사거리","11875","11773","20250104",""
"20250101","4호선","길음","8615","8701","20250104",""
"20250101","4호선","성신여대입구(돈암)","10926","10965","20250104",""
"20250101","4호선","한성대입구(삼선교)","6381","6490","20250104",""
"20250101","4호선","혜화","19328","19831","20250104",""
"20250101","4호선","동대문","7644","7401","20250104",""
"20250101","4호선","동대문역사문화공원(DDP)","12634","9790","20250104",""
"20250101","4호선","충무로","11917","12521","20250104",""
"20250101","4호선","명동","30089","33345","20250104",""
"20250101","4호선","회현(남대문시장)","9330","9582","20250104",""
"20250101","4호선","서울역","4698","11592","20250104",""
"20250101","4호선","숙대입구(갈월)","6087","5727","20250104",""
"20250101","4호선","삼각지","2851","3561","20250104",""
"20250101","4호선","신용산","10019","9958","20250104",""
"20250101","4호선","이촌(국립중앙박물관)","2687","2989","20250104",""
"20250101","4호선","동작(현충원)","1163","1144","20250104",""
"20250101","4호선","총신대입구(이수)","8049","8902","20250104",""
"20250101","4호선","사당","8239","11064","20250104",""
"20250101","4호선","남태령","569","473","20250104",""
"20250101","5호선","방화","3773","3506","20250104",""
"20250101","5호선","개화산","2779","3077","20250104",""
"20250101","5호선","김포공항","9179","5684","20250104",""
"20250101","5호선","송정","3184","3295","20250104",""
"20250101","5호선","마곡","3320","3458","20250104",""
"20250101","5호선","발산","9078","9387","20250104",""
"20250101","5호선","우장산","5837","6136","20250104",""
"20250101","5호선","화곡","11956","11779","20250104",""
"20250101","5호선","까치산","12665","12818","20250104",""
"20250101","5호선","신정(은행정)","5409","5074","20250104",""
"20250101","5호선","목동","6067","6602","20250104",""
"20250101","5호선","오목교(목동운동장앞)","7931","8327","20250104",""
"20250101","5호선","양평","2222","2317","20250104",""
"20250101","5호선","영등포구청","1574","1425","20250104",""
"20250101","5호선","영등포시장","4927","5039","20250104",""
"20250101","5호선","신길","2273","2451","20250104",""
"20250101","5호선","여의도","5589","5943","20250104",""
"20250101","5호선","여의나루","5187","5697","20250104",""
"20250101","5호선","마포","4824","4845","20250104",""
"20250101","2호선","왕십리(성동구청)","7469","7531","20250104",""
"20250101","2호선","한양대","2027","2325","20250104",""
"20250101","2호선","뚝섬","8755","8527","20250104",""
