날짜,역번호,역명,구분,합계,03-04시,04-05시,05-06시,06-07시,07-08시,08-09시,09-10시,10-11시,11-12시,12-13시,13-14시,14-15시,15-16시,16-17시,17-18시,18-19시,19-20시,20-21시,21-22시,22-23시,23-00시,00-01시,01-02시,02-03시
2025-01-01,1101,판암,승차,1998,0,0,45,38,57,112,136,132,184,191,176,168,144,157,145,102,69,63,30,34,15,0,0,0
2025-01-01,1101,판암,하차,1853,0,0,22,51,39,52,73,67,114,93,110,132,139,203,182,138,103,99,99,84,37,16,0,0
2025-01-01,1102,신흥,승차,870,0,0,13,15,24,52,75,63,80,62,77,70,64,56,82,54,28,22,13,18,2,0,0,0
2025-01-01,1102,신흥,하차,824,0,0,12,28,26,26,21,27,36,35,35,54,62,84,79,63,51,71,43,41,29,1,0,0
2025-01-01,1103,대동,승차,1601,0,0,32,41,60,88,103,94,140,109,133,108,125,130,116,87,65,64,49,37,20,0,0,0
2025-01-01,1103,대동,하차,1607,0,0,35,48,51,65,68,46,65,54,78,109,121,121,123,129,109,104,98,93,80,10,0,0
2025-01-01,1104,대전,승차,8374,0,0,13,47,103,160,217,359,377,405,465,571,758,761,786,644,631,706,629,539,203,0,0,0
2025-01-01,1104,대전,하차,6188,0,0,67,115,183,320,344,381,511,469,510,539,487,491,443,364,356,291,193,92,30,2,0,0
2025-01-01,1105,중앙로,승차,4816,0,0,46,37,33,65,100,114,177,150,251,274,478,613,510,479,461,389,353,191,92,3,0,0
2025-01-01,1105,중앙로,하차,5017,0,0,20,36,49,92,190,208,373,504,574,602,599,449,482,321,220,126,90,58,20,4,0,0
2025-01-01,1106,중구청,승차,704,0,0,13,17,33,29,29,29,42,38,64,48,68,51,48,51,46,30,31,24,13,0,0,0
2025-01-01,1106,중구청,하차,853,0,0,8,31,13,21,37,47,40,67,97,71,63,68,50,39,38,46,43,46,25,3,0,0
2025-01-01,1107,서대전네거리,승차,2219,0,1,52,44,58,103,133,122,156,144,181,143,172,211,153,125,123,112,82,60,44,0,0,0
2025-01-01,1107,서대전네거리,하차,2549,0,0,32,55,46,65,109,99,126,128,149,171,206,251,241,252,169,126,141,110,69,4,0,0
2025-01-01,1108,오룡,승차,1523,0,0,28,26,56,70,97,92,125,173,101,93,107,115,113,108,83,45,49,29,13,0,0,0
2025-01-01,1108,오룡,하차,1439,0,0,11,22,27,47,57,109,78,75,85,83,104,113,130,105,85,87,110,84,27,0,0,0
2025-01-01,1109,용문,승차,2996,0,0,49,66,80,148,152,140,221,226,329,324,220,226,243,178,132,105,81,51,25,0,0,0
2025-01-01,1109,용문,하차,3161,0,0,15,36,47,82,117,162,296,221,189,185,239,269,281,239,192,171,175,151,94,0,0,0
2025-01-01,1110,탄방,승차,1613,0,0,35,36,44,55,77,85,83,77,147,121,130,121,112,113,86,96,134,42,19,0,0,0
2025-01-01,1110,탄방,하차,1824,0,0,22,35,33,67,76,89,72,97,126,108,135,148,164,154,144,126,88,81,59,0,0,0
2025-01-01,1111,시청,승차,2829,0,0,130,94,63,75,80,124,146,164,148,198,194,223,185,210,149,201,150,216,79,0,0,0
2025-01-01,1111,시청,하차,2644,0,0,17,46,68,109,114,122,104,141,163,216,193,261,238,210,186,153,155,85,62,1,0,0
2025-01-01,1112,정부청사,승차,2408,0,0,103,54,60,107,111,103,125,118,151,166,177,184,214,201,160,145,117,80,31,1,0,0
2025-01-01,1112,정부청사,하차,2522,0,0,20,42,62,96,103,115,116,148,194,208,218,228,202,181,158,144,156,99,27,5,0,0
2025-01-01,1113,갈마,승차,1535,0,0,72,48,44,74,101,92,95,119,142,94,111,133,101,95,66,62,52,25,9,0,0,0
2025-01-01,1113,갈마,하차,1755,0,0,15,8,18,24,55,61,86,80,79,127,146,156,159,155,140,131,111,129,63,12,0,0
2025-01-01,1114,월평,승차,1769,0,0,36,44,54,73,105,88,126,141,142,146,158,131,141,118,78,66,60,36,22,4,0,0
2025-01-01,1114,월평,하차,2080,0,0,10,14,25,46,56,63,94,111,109,129,162,183,208,178,138,137,160,145,103,9,0,0
2025-01-01,1115,갑천,승차,524,0,0,11,11,17,25,31,36,24,37,47,36,41,48,41,32,31,15,24,14,3,0,0,0
2025-01-01,1115,갑천,하차,552,0,0,5,11,14,20,24,24,17,32,37,32,51,51,35,46,38,38,29,22,20,6,0,0
2025-01-01,1116,유성온천,승차,5285,0,0,82,100,107,178,244,303,358,339,404,417,504,463,395,360,307,265,242,139,76,2,0,0
